date,holiday
2017-01-01,New Year's Day
2017-02-14,Valentine's Day
2017-05-14,Mother's Day
2017-06-18,Father's Day
2017-06-25,Ramadan Feast
2017-06-26,Ramadan Feast Holiday
2017-06-27,Ramadan Feast Holiday
2017-09-01,Sacrifice Feast
2017-09-02,Sacrifice Feast Holiday
2017-09-03,Sacrifice Feast Holiday
2017-09-04,Sacrifice Feast Holiday
2017-11-23,Thanksgiving Day
2017-11-24,Black Friday
2017-11-27,Cyber Monday
2017-12-25,Christmas Day
2018-01-01,New Year's Day
2018-02-14,Valentine's Day
2018-05-13,Mother's Day
2018-06-15,Ramadan Feast
2018-06-16,Ramadan Feast Holiday
2018-06-17,Father's Day
2018-06-17,Ramadan Feast Holiday
2018-08-21,Sacrifice Feast
2018-08-22,Sacrifice Feast Holiday
2018-08-23,Sacrifice Feast Holiday
2018-08-24,Sacrifice Feast Holiday
2018-11-22,Thanksgiving Day
2018-11-23,Black Friday
2018-11-26,Cyber Monday
2018-12-25,Christmas Day
2019-01-01,New Year's Day
2019-02-14,Valentine's Day
2019-05-12,Mother's Day
2019-06-04,Ramadan Feast
2019-06-05,Ramadan Feast Holiday
2019-06-06,Ramadan Feast Holiday
2019-06-16,Father's Day
2019-08-11,Sacrifice Feast
2019-08-12,Sacrifice Feast Holiday
2019-08-13,Sacrifice Feast Holiday
2019-08-14,Sacrifice Feast Holiday
2019-11-28,Thanksgiving Day
2019-11-29,Black Friday
2019-12-02,Cyber Monday
2019-12-25,Christmas Day
2020-01-01,New Year's Day
2020-02-14,Valentine's Day
2020-05-10,Mother's Day
2020-05-24,Ramadan Feast
2020-05-25,Ramadan Feast Holiday
2020-05-26,Ramadan Feast Holiday
2020-06-21,Father's Day
2020-07-31,Sacrifice Feast
2020-08-01,Sacrifice Feast Holiday
2020-08-02,Sacrifice Feast Holiday
2020-08-03,Sacrifice Feast Holiday
2020-11-26,Thanksgiving Day
2020-11-27,Black Friday
2020-11-30,Cyber Monday
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-02-14,Valentine's Day
2021-05-09,Mother's Day
2021-05-13,Ramadan Feast
2021-05-14,Ramadan Feast Holiday
2021-05-15,Ramadan Feast Holiday
2021-06-20,Father's Day
2022-01-01,New Year's Day
2022-02-14,Valentine's Day
2022-05-8,Mother's Day
2022-05-02,Ramadan Feast
2022-05-03,Ramadan Feast Holiday
2022-05-04,Ramadan Feast Holiday
2022-06-19,Father's Day
2022-08-08,Sacrifice Feast
2022-08-09,Sacrifice Feast Holiday
2022-08-10,Sacrifice Feast Holiday
2022-08-11,Sacrifice Feast Holiday
2022-08-12,Sacrifice Feast Holiday
2022-11-24,Thanksgiving Day
2022-11-25,Black Friday
2022-11-28,Cyber Monday
2022-12-25,Christmas Day
2023-01-01,New Year's Day
2023-02-14,Valentine's Day
2023-05-14,Mother's Day
2023-04-21,Ramadan Feast
2023-05-22,Ramadan Feast Holiday
2023-05-23,Ramadan Feast Holiday
2023-06-18,Father's Day
2023-06-28,Sacrifice Feast
2023-06-29,Sacrifice Feast Holiday
2023-06-30,Sacrifice Feast Holiday
2023-07-01,Sacrifice Feast Holiday
2023-11-23,Thanksgiving Day
2023-11-24,Black Friday
2023-11-27,Cyber Monday
2023-12-25,Christmas Day
